structure(list(CpGmarker = c("(Intercept)", "cg00075967", "cg00374717", 
"cg00864867", "cg00945507", "cg01027739", "cg01353448", "cg01584473", 
    "SIAL2; MGC129579; ", "SIG11; ZSIG11; FLJ13935; ", "SIP1; OCTS2; SIP-1; TKA-1; E3KARP; NHERF2; NHE3RF2; NHERF-2; MGC104639; ", 
    "SIS; SSV; PDGF2; c-sis; FLJ12858; ", "SLM1; SLM-1; MGC26664; bA535F17.1; ", 
    "SNK; ", "SOXL; HMGX2; BRAF25; BRAF35; PP7706; pp8857; FLJ26127; SMARCE1r; ", 
    "spatial; FLJ32820; ", "SRCASM; ", "SRPSOX; CXCLG16; SR-PSOX; ", 
    "SSS1; ", "STG; ", "STP; CIP4; HSTP; STOT; ", "STZ; SAT3; CGS23; SIAT4; NANTA3; SIAT4C; FLJ11867; ST3GalIV; ST3Gal IV; ", 
    "SYN10; hsyn10; ", "tagL; PGRPL; PGRP-L; PGLYRPL; HMFT0141; TAGL-like; tagl-beta; tagL-alpha; ", 
    "TCE4; ", "THP2; ", "TIM17; TIM17A; ", "TIMAP; ANKRD4; KIAA0823; ", 
    "TIP5; KIAA0314; DKFZp781B109; ", "TMEM2L; IR2155535; ", 
    "TN; TNA; DKFZp686H17246; ", "TP; MNGIE; PDECGF; hPD-ECGF; ", 
    "TP1; ", "TSARG5; TSARG6; FLJ46748; ", "TSGA; JMJD1; KIAA0742; DKFZp686A24246; DKFZp686P07111; ", 
    "TYK1; ", "UBPO; KIAA0190; ", "UNQ1833; FLJ21763; ", "UNQ335; FLJ22625; ", 
    "URKL1; ", "UVO; CDHE; ECAD; LCAM; Arc-1; CD324; ", "VAM1; p55T; PALS2; VAM-1; ", 
    "WFS; WFRS; DFNA6; DFNA14; DFNA38; DIDMOAD; WOLFRAMIN; ", 
    "X5L; D6S2654E; ", "Xin; DKFZp451D042; DKFZp779C1947; ", 
    "XL; AHO; GSA; GSP; POH; XL2; GPSA; NESP; GNAS1; PHP1A; PHP1B; GNASXL; NESP55; C20orf45; MGC33735; XLalphas; dJ309F20.1.1; dJ806M20.3.3; ", 
    "XTP5; MGC8749; RP11-526D20.2; ", "YKL39; YKL-39; ", "ZFGF5; FGF-18; ", 
    "ZFP219; ", "ZIZ1; KIAA1058; KIAA1085; zizimin1; RP11-155N3.2; DKFZp686N04132; ", 
    "ZO-1; DKFZp686M05161; "), class = "factor"), Accession = structure(c(1L, 
    234L, 167L, 56L, 161L, 215L, 138L, 25L, 277L, 330L, 327L, 
    237L, 82L, 151L, 301L, 31L, 11L, 275L, 342L, 315L, 308L, 
    49L, 258L, 211L, 204L, 290L, 33L, 42L, 216L, 71L, 14L, 69L, 
    341L, 281L, 171L, 70L, 178L, 52L, 97L, 131L, 39L, 95L, 246L, 
    191L, 38L, 29L, 142L, 340L, 23L, 221L, 87L, 335L, 106L, 252L, 
    73L, 89L, 284L, 22L, 287L, 123L, 53L, 223L, 196L, 92L, 125L, 
    225L, 121L, 345L, 228L, 56L, 192L, 114L, 117L, 187L, 270L, 
    68L, 276L, 35L, 257L, 217L, 267L, 5L, 253L, 328L, 263L, 127L, 
    240L, 180L, 96L, 207L, 338L, 66L, 108L, 21L, 206L, 248L, 
    304L, 322L, 229L, 329L, 141L, 249L, 4L, 210L, 34L, 58L, 289L, 
    200L, 185L, 136L, 159L, 102L, 264L, 310L, 118L, 193L, 104L, 
    41L, 201L, 85L, 247L, 93L, 311L, 157L, 227L, 230L, 283L, 
    145L, 30L, 26L, 262L, 236L, 81L, 7L, 232L, 298L, 306L, 269L, 
    153L, 133L, 30L, 72L, 129L, 107L, 205L, 45L, 243L, 100L, 
    134L, 147L, 238L, 265L, 105L, 226L, 101L, 162L, 91L, 154L, 
    337L, 24L, 345L, 336L, 318L, 331L, 212L, 282L, 74L, 59L, 
    175L, 344L, 256L, 177L, 61L, 17L, 128L, 286L, 156L, 150L, 
    174L, 98L, 315L, 99L, 293L, 321L, 343L, 170L, 186L, 184L, 
    312L, 37L, 324L, 172L, 166L, 339L, 209L, 305L, 19L, 15L, 
    188L, 124L, 292L, 309L, 62L, 113L, 65L, 302L, 144L, 50L, 
    198L, 222L, 64L, 158L, 181L, 278L, 260L, 334L, 78L, 12L, 
    294L, 197L, 163L, 218L, 84L, 273L, 214L, 173L, 279L, 109L, 
    323L, 295L, 132L, 332L, 67L, 241L, 274L, 120L, 231L, 2L, 
    90L, 266L, 76L, 20L, 13L, 313L, 54L, 213L, 94L, 251L, 245L, 
    135L, 18L, 139L, 271L, 28L, 176L, 326L, 244L, 116L, 75L, 
    27L, 325L, 296L, 259L, 333L, 254L, 155L, 219L, 291L, 202L, 
    19L, 250L, 55L, 189L, 319L, 148L, 165L, 280L, 119L, 224L, 
    10L, 297L, 32L, 183L, 126L, 314L, 111L, 220L, 288L, 16L, 
    60L, 79L, 122L, 307L, 203L, 88L, 255L, 152L, 179L, 110L, 
    208L, 78L, 173L, 143L, 233L, 103L, 36L, 190L, 320L, 130L, 
    160L, 40L, 51L, 77L, 261L, 80L, 299L, 6L, 182L, 47L, 57L, 
    317L, 242L, 272L, 86L, 285L, 194L, 112L, 316L, 8L, 235L, 
    3L, 43L, 164L, 44L, 63L, 115L, 137L, 303L, 83L, 48L, 149L, 
    9L, 239L, 168L, 199L, 202L, 195L, 146L, 169L, 140L, 314L, 
    46L, 300L, 268L), .Label = c("", "NM_000144.3", "NM_000153.1", 
    "NM_000227.2", "NM_000233.1", "NM_000256.2", "NM_000375.1", 
    "NM_000404.1", "NM_000419.2", "NM_000516.3", "NM_000606.1", 
    "NM_000666.1", "NM_000694.2", "NM_000697.1", "NM_000773.3", 
    "NM_000809.2", "NM_000826.2", "NM_000835.3", "NM_000900.2", 
    "NM_000908.2", "NM_000923.1", "NM_000939.1", "NM_000956.2", 
    "NM_000993.2", "NM_001004430.1", "NM_001005158.1", "NM_001006620.1", 
    "NM_001025197.1", "NM_001031701.1", "NM_001031703.1", "NM_001089.1", 
    "NM_001166.3", "NM_001338.3", "NM_001375.2", "NM_001480.2", 
    "NM_001525.1", "NM_001717.2", "NM_001761.1", "NM_001783.2", 
    "NM_001893.3", "NM_001953.2", "NM_001954.3", "NM_001979.4", 
    "NM_002005.2", "NM_002045.2", "NM_002152.2", "NM_002184.2", 
    "NM_002264.1", "NM_002279.3", "NM_002286.4", "NM_002305.2", 
    "NM_002318.2", "NM_002410.2", "NM_002430.2", "NM_002435.1", 
    "NM_002583.2", "NM_002612.2", "NM_002844.2", "NM_002915.2", 
    "NM_002957.3", "NM_002998.3", "NM_003005.2", "NM_003092.3", 
    "NM_003101.4", "NM_003146.2", "NM_003257.2", "NM_003278.1", 
    "NM_003284.2", "NM_003378.2", "NM_003451.1", "NM_003485.3", 
    "NM_003508.2", "NM_003568.1", "NM_003737.2", "NM_003765.1", 
    "NM_003805.3", "NM_003905.3", "NM_003919.1", "NM_004035.4", 
    "NM_004091.2", "NM_004212.1", "NM_004240.2", "NM_004256.1", 
    "NM_004273.2", "NM_004360.2", "NM_004366.2", "NM_004386.1", 
    "NM_004449.3", "NM_004542.1", "NM_004552.1", "NM_004609.3", 
    "NM_004717.2", "NM_004784.1", "NM_004785.3", "NM_004898.2", 
    "NM_004930.1", "NM_004978.2", "NM_005030.3", "NM_005144.3", 
    "NM_005153.1", "NM_005181.2", "NM_005195.2", "NM_005202.1", 
    "NM_005270.2", "NM_005298.2", "NM_005312.2", "NM_005383.1", 
    "NM_005441.2", "NM_005446.2", "NM_005486.1", "NM_005923.3", 
    "NM_005935.1", "NM_005937.2", "NM_006005.2", "NM_006006.4", 
    "NM_006016.3", "NM_006025.2", "NM_006170.2", "NM_006209.2", 
    "NM_006252.2", "NM_006258.1", "NM_006259.1", "NM_006273.2", 
    "NM_006278.1", "NM_006317.3", "NM_006335.1", "NM_006339.1", 
    "NM_006360.3", "NM_006383.2", "NM_006390.2", "NM_006438.2", 
    "NM_006445.2", "NM_006457.2", "NM_006500.2", "NM_006573.3", 
    "NM_006574.2", "NM_006622.1", "NM_006658.2", "NM_006664.2", 
    "NM_006708.1", "NM_006867.2", "NM_006998.3", "NM_007222.3", 
    "NM_012135.1", "NM_012186.1", "NM_012235.2", "NM_012275.2", 
    "NM_012287.3", "NM_012344.2", "NM_013242.2", "NM_013247.4", 
    "NM_013272.2", "NM_013313.3", "NM_013321.1", "NM_013374.3", 
    "NM_013449.2", "NM_013974.1", "NM_014065.2", "NM_014070.1", 
    "NM_014143.2", "NM_014302.3", "NM_014608.2", "NM_014872.1", 
    "NM_014878.3", "NM_014888.1", "NM_014933.2", "NM_014960.2", 
    "NM_015176.1", "NM_015261.2", "NM_015293.1", "NM_015296.1", 
    "NM_015318.2", "NM_015407.3", "NM_015453.1", "NM_015508.2", 
    "NM_015547.2", "NM_015568.2", "NM_015596.1", "NM_015865.1", 
    "NM_015881.5", "NM_015926.3", "NM_015965.3", "NM_016108.2", 
    "NM_016224.3", "NM_016246.2", "NM_016270.2", "NM_016343.3", 
    "NM_016423.1", "NM_016447.2", "NM_016459.2", "NM_016518.2", 
    "NM_016602.1", "NM_016931.2", "NM_017429.2", "NM_017607.1", 
    "NM_017779.3", "NM_017784.3", "NM_017859.2", "NM_018127.4", 
    "NM_018168.1", "NM_018224.1", "NM_018280.1", "NM_018309.1", 
    "NM_018433.3", "NM_018689.1", "NM_018718.1", "NM_018962.1", 
    "NM_018997.1", "NM_019010.1", "NM_019118.2", "NM_020159.1", 
    "NM_020177.2", "NM_020347.2", "NM_020388.2", "NM_020438.3", 
    "NM_020653.1", "NM_020655.2", "NM_020753.2", "NM_020774.2", 
    "NM_020818.2", "NM_020825.2", "NM_020857.2", "NM_021005.2", 
    "NM_021038.3", "NM_021070.2", "NM_021185.3", "NM_021245.2", 
    "NM_021619.2", "NM_021831.3", "NM_021916.2", "NM_021988.3", 
    "NM_022059.1", "NM_022356.2", "NM_022369.2", "NM_022745.2", 
    "NM_022894.2", "NM_022912.1", "NM_024015.3", "NM_024016.2", 
    "NM_024520.1", "NM_024662.1", "NM_024715.2", "NM_024906.1", 
    "NM_025002.1", "NM_025078.3", "NM_025137.2", "NM_025176.4", 
    "NM_030876.4", "NM_031220.1", "NM_031450.2", "NM_031464.2", 
    "NM_031485.2", "NM_031890.2", "NM_031913.1", "NM_032023.3", 
    "NM_032251.3", "NM_032276.2", "NM_032307.2", "NM_032478.2", 
    "NM_032548.2", "NM_032592.1", "NM_033016.1", "NM_033256.1", 
    "NM_033649.1", "NM_052840.3", "NM_052890.2", "NM_052945.2", 
    "NM_058187.3", "NM_080605.2", "NM_080718.1", "NM_080738.2", 
    "NM_130786.2", "NM_130809.2", "NM_133368.1", "NM_133483.1", 
    "NM_138294.2", "NM_138347.2", "NM_138423.2", "NM_138434.2", 
    "NM_138436.2", "NM_138693.1", "NM_139074.2", "NM_139137.2", 
    "NM_139174.2", "NM_139178.1", "NM_139278.2", "NM_144650.1", 
    "NM_144772.1", "NM_145030.1", "NM_145263.1", "NM_145306.1", 
    "NM_148675.2", "NM_152261.1", "NM_152382.1", "NM_152384.2", 
    "NM_152387.2", "NM_152457.1", "NM_152487.1", "NM_152562.2", 
    "NM_152610.1", "NM_152688.1", "NM_152710.1", "NM_152906.2", 
    "NM_153359.1", "NM_153368.1", "NM_153614.2", "NM_173476.2", 
    "NM_173482.1", "NM_173510.1", "NM_173583.1", "NM_173660.2", 
    "NM_173664.3", "NM_173687.1", "NM_173806.2", "NM_174947.2", 
    "NM_175709.2", "NM_176811.2", "NM_178012.3", "NM_178449.2", 
    "NM_178452.3", "NM_178548.2", "NM_178821.1", "NM_178836.2", 
    "NM_181646.2", "NM_181690.1", "NM_181776.1", "NM_182505.3", 
    "NM_182573.1", "NM_182598.1", "NM_182755.1", "NM_183047.1", 
    "NM_183049.2", "NM_194293.2", "NM_197958.1", "NM_197960.1", 
    "NM_197964.1", "NM_198586.2", "NM_199043.1", "NM_206961.1", 
    "NM_207313.1", "NM_207373.1", "NT_007995.14", "NT_011520.11", 
    "NT_021877.18", "NT_032977.8"), class = "factor"), GID = structure(c(1L, 
    55L, 215L, 269L, 291L, 251L, 121L, 258L, 148L, 139L, 171L, 
    9L, 196L, 318L, 80L, 201L, 219L, 43L, 1L, 109L, 99L, 25L, 
    125L, 22L, 233L, 68L, 228L, 172L, 2L, 322L, 203L, 35L, 234L, 
    50L, 89L, 212L, 7L, 305L, 92L, 38L, 306L, 94L, 143L, 295L, 
    205L, 315L, 287L, 236L, 129L, 296L, 239L, 166L, 174L, 123L, 
    204L, 241L, 124L, 209L, 63L, 17L, 293L, 120L, 191L, 134L, 
    113L, 41L, 5L, 1L, 26L, 269L, 333L, 14L, 73L, 270L, 39L, 
    160L, 274L, 292L, 138L, 70L, 36L, 222L, 267L, 135L, 27L, 
    265L, 11L, 301L, 247L, 341L, 180L, 104L, 227L, 208L, 31L, 
    225L, 84L, 130L, 147L, 136L, 279L, 19L, 167L, 58L, 285L, 
    42L, 65L, 337L, 288L, 179L, 330L, 107L, 32L, 98L, 326L, 49L, 
    18L, 331L, 338L, 24L, 268L, 240L, 122L, 323L, 56L, 114L, 
    91L, 6L, 316L, 260L, 28L, 33L, 244L, 223L, 8L, 78L, 178L, 
    165L, 187L, 286L, 316L, 298L, 200L, 248L, 177L, 108L, 12L, 
    88L, 311L, 102L, 224L, 310L, 169L, 188L, 309L, 278L, 245L, 
    87L, 185L, 30L, 1L, 163L, 195L, 156L, 161L, 111L, 317L, 128L, 
    176L, 1L, 189L, 157L, 272L, 321L, 259L, 226L, 131L, 198L, 
    20L, 151L, 109L, 297L, 75L, 116L, 1L, 44L, 255L, 82L, 230L, 
    45L, 162L, 192L, 194L, 231L, 103L, 85L, 254L, 324L, 334L, 
    264L, 217L, 101L, 294L, 280L, 105L, 81L, 308L, 29L, 283L, 
    197L, 252L, 140L, 150L, 110L, 95L, 164L, 4L, 202L, 76L, 83L, 
    328L, 216L, 46L, 119L, 51L, 145L, 253L, 170L, 118L, 262L, 
    37L, 314L, 211L, 16L, 213L, 238L, 190L, 127L, 242L, 60L, 
    257L, 218L, 312L, 100L, 273L, 275L, 313L, 146L, 154L, 86L, 
    271L, 72L, 74L, 307L, 96L, 133L, 13L, 153L, 210L, 277L, 132L, 
    214L, 97L, 184L, 229L, 246L, 299L, 69L, 339L, 254L, 126L, 
    207L, 57L, 117L, 181L, 327L, 149L, 47L, 235L, 40L, 77L, 193L, 
    186L, 266L, 115L, 67L, 319L, 64L, 158L, 66L, 155L, 263L, 
    182L, 340L, 232L, 112L, 336L, 335L, 249L, 34L, 4L, 145L, 
    300L, 61L, 137L, 221L, 90L, 183L, 261L, 48L, 52L, 290L, 302L, 
    23L, 159L, 199L, 10L, 59L, 106L, 141L, 144L, 62L, 54L, 284L, 
    53L, 320L, 256L, 237L, 3L, 250L, 220L, 276L, 142L, 15L, 168L, 
    304L, 282L, 175L, 243L, 206L, 71L, 289L, 93L, 329L, 152L, 
    339L, 21L, 303L, 332L, 281L, 115L, 325L, 79L, 173L), .Label = c("", 
    "GI:10190687", "GI:10834965", "GI:10835046", "GI:10835241", 
    "GI:11386196", "GI:11496280", "GI:11545764", "GI:12597656", 
    "GI:13325073", "GI:13375659", "GI:13376362", "GI:13376514", 
    "GI:13376995", "GI:13376997", "GI:13399321", "GI:13435401", 
    "GI:13518226", "GI:13654295", "GI:14149689", "GI:14149715", 
    "GI:14149729", "GI:14211920", "GI:14589887", "GI:15022816", 
    "GI:15042948", "GI:15147249", "GI:15451785", "GI:15718681", 
    "GI:15812219", "GI:16306478", "GI:16306545", "GI:16306567", 
    "GI:16950592", "GI:17136077", "GI:17978517", "GI:17999536", 
    "GI:18105033", "GI:18201895", "GI:18426896", "GI:18497287", 
    "GI:18860901", "GI:19311007", "GI:19526752", "GI:19743791", 
    "GI:19923280", "GI:20070229", "GI:20070268", "GI:20149638", 
    "GI:20162553", "GI:20357503", "GI:20544143", "GI:21040274", 
    "GI:21071029", "GI:21314699", "GI:21359948", "GI:21361597", 
    "GI:21361813", "GI:21361821", "GI:21361844", "GI:21361917", 
    "GI:21362011", "GI:21389518", "GI:21426826", "GI:21450760", 
    "GI:21536318", "GI:21536459", "GI:21687118", "GI:21687152", 
    "GI:21704282", "GI:21735622", "GI:22165428", "GI:22209002", 
    "GI:22325373", "GI:22748614", "GI:22748818", "GI:22748966", 
    "GI:22749022", "GI:22749248", "GI:22749380", "GI:22749412", 
    "GI:23111056", "GI:23111057", "GI:23503298", "GI:23503308", 
    "GI:23510443", "GI:23943857", "GI:24307888", "GI:24308028", 
    "GI:24475968", "GI:24497455", "GI:24497461", "GI:25121964", 
    "GI:25777594", "GI:25777622", "GI:25777708", "GI:26667164", 
    "GI:27734800", "GI:27735062", "GI:27735122", "GI:27735132", 
    "GI:27894308", "GI:27894336", "GI:28416399", "GI:28416943", 
    "GI:28610146", "GI:28872797", "GI:28872807", "GI:29126235", 
    "GI:29826288", "GI:30061486", "GI:30474868", "GI:30795230", 
    "GI:31340618", "GI:31341127", "GI:31341730", "GI:31341960", 
    "GI:31343395", "GI:31377624", "GI:31377723", "GI:31542288", 
    "GI:31542769", "GI:31542861", "GI:31543071", "GI:31543143", 
    "GI:31543378", "GI:31742514", "GI:31795536", "GI:31881629", 
    "GI:32189424", "GI:32261302", "GI:32307162", "GI:32401452", 
    "GI:32483395", "GI:32698975", "GI:32699012", "GI:32964829", 
    "GI:33300638", "GI:33300650", "GI:33469986", "GI:33589822", 
    "GI:33620772", "GI:33636747", "GI:33667039", "GI:34147328", 
    "GI:34147400", "GI:34147509", "GI:34147525", "GI:34147538", 
    "GI:34147580", "GI:34147632", "GI:34147640", "GI:34222157", 
    "GI:34222340", "GI:34304338", "GI:34335261", "GI:34335276", 
    "GI:34452722", "GI:34485718", "GI:34850064", "GI:36030993", 
    "GI:37202115", "GI:37537547", "GI:37537705", "GI:37537720", 
    "GI:37577088", "GI:38045907", "GI:38149917", "GI:38194223", 
    "GI:38327545", "GI:38327628", "GI:38327631", "GI:38372914", 
    "GI:38373674", "GI:38488711", "GI:38524593", "GI:38638697", 
    "GI:39204546", "GI:39753966", "GI:39932580", "GI:40254841", 
    "GI:40255165", "GI:40255219", "GI:40255271", "GI:40255282", 
    "GI:40316940", "GI:40549458", "GI:40556268", "GI:40795670", 
    "GI:40806163", "GI:41282232", "GI:41327768", "GI:41349435", 
    "GI:41349438", "GI:42476191", "GI:42516568", "GI:42544225", 
    "GI:42716281", "GI:44681483", "GI:44921612", "GI:4501848", 
    "GI:4501900", "GI:4502050", "GI:4502102", "GI:4502620", "GI:4504894", 
    "GI:4505234", "GI:4505664", "GI:4505948", "GI:4507284", "GI:4507556", 
    "GI:4508008", "GI:45387948", "GI:45387952", "GI:45430056", 
    "GI:45433546", "GI:45433549", "GI:45505140", "GI:4557392", 
    "GI:4557612", "GI:4557636", "GI:4557716", "GI:4557872", "GI:45580720", 
    "GI:45594309", "GI:45643139", "GI:45827788", "GI:45827793", 
    "GI:46195742", "GI:46195790", "GI:46249415", "GI:46255021", 
    "GI:46358420", "GI:46409375", "GI:46411162", "GI:46560554", 
    "GI:46852393", "GI:46877067", "GI:4758083", "GI:4758765", 
    "GI:4758771", "GI:4758789", "GI:4758851", "GI:4759131", "GI:48255908", 
    "GI:48255927", "GI:4826658", "GI:4885514", "GI:4885638", 
    "GI:48976052", "GI:48976059", "GI:49533616", "GI:49574496", 
    "GI:49574513", "GI:49574523", "GI:5174572", "GI:51988883", 
    "GI:52138722", "GI:52851442", "GI:53692190", "GI:53759102", 
    "GI:54145494", "GI:5453977", "GI:5454057", "GI:5454079", 
    "GI:5454119", "GI:54607075", "GI:55749677", "GI:55769532", 
    "GI:55770833", "GI:55770853", "GI:55925658", "GI:55956909", 
    "GI:56676310", "GI:56676319", "GI:56682950", "GI:56788398", 
    "GI:57013277", "GI:57164967", "GI:57222567", "GI:5729841", 
    "GI:5730054", "GI:57863311", "GI:5803001", "GI:58331228", 
    "GI:58533152", "GI:59814903", "GI:59889577", "GI:6006009", 
    "GI:6006015", "GI:60279263", "GI:6031165", "GI:6031185", 
    "GI:6031196", "GI:60499000", "GI:62079294", "GI:62750351", 
    "GI:62865872", "GI:62868229", "GI:63079679", "GI:66346686", 
    "GI:66363682", "GI:66932901", "GI:66932930", "GI:67782347", 
    "GI:68348717", "GI:68533252", "GI:6912325", "GI:6996001", 
    "GI:70780380", "GI:71274106", "GI:71773289", "GI:71897228", 
    "GI:72255572", "GI:72534691", "GI:72534695", "GI:73623031", 
    "GI:73747817", "GI:73808096", "GI:74027269", "GI:74275353", 
    "GI:74316010", "GI:7524353", "GI:75709190", "GI:75905816", 
    "GI:76150622", "GI:7661713", "GI:7662073", "GI:7662157", 
    "GI:7662666", "GI:7669488", "GI:76880473", "GI:7705315", 
    "GI:7705974", "GI:7706676", "GI:7706713", "GI:8922570", "GI:8922676", 
    "GI:8922784", "GI:8922841", "GI:9506556"), class = "factor"), 
    Annotation = structure(c(1L, 163L, 78L, 2L, 2L, 2L, 2L, 140L, 
    116L, 174L, 107L, 54L, 170L, 2L, 137L, 2L, 2L, 105L, 139L, 
    128L, 1L, 115L, 161L, 2L, 167L, 148L, 2L, 2L, 68L, 2L, 3L, 
    124L, 135L, 21L, 40L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 75L, 70L, 
    33L, 100L, 44L, 1L, 2L, 29L, 87L, 106L, 2L, 39L, 2L, 2L, 
    52L, 2L, 11L, 2L, 2L, 2L, 24L, 62L, 19L, 117L, 2L, 2L, 2L, 
    2L, 2L, 2L, 2L, 26L, 2L, 2L, 77L, 2L, 162L, 114L, 16L, 2L, 
    1L, 120L, 4L, 2L, 143L, 2L, 2L, 41L, 104L, 2L, 2L, 2L, 27L, 
    2L, 1L, 147L, 74L, 1L, 113L, 2L, 2L, 155L, 2L, 2L, 1L, 145L, 
    134L, 2L, 166L, 66L, 48L, 1L, 2L, 57L, 2L, 2L, 1L, 2L, 73L, 
    88L, 150L, 2L, 22L, 173L, 2L, 36L, 98L, 138L, 2L, 2L, 2L, 
    81L, 2L, 49L, 5L, 2L, 32L, 2L, 98L, 2L, 7L, 31L, 171L, 2L, 
    2L, 89L, 119L, 2L, 94L, 136L, 2L, 49L, 45L, 111L, 2L, 83L, 
    63L, 8L, 2L, 1L, 2L, 2L, 156L, 18L, 2L, 2L, 67L, 2L, 20L, 
    169L, 35L, 2L, 34L, 151L, 2L, 90L, 82L, 2L, 128L, 110L, 152L, 
    9L, 15L, 2L, 2L, 2L, 10L, 2L, 69L, 127L, 101L, 2L, 30L, 42L, 
    2L, 2L, 2L, 2L, 41L, 142L, 2L, 2L, 2L, 164L, 60L, 51L, 172L, 
    58L, 2L, 97L, 133L, 109L, 99L, 2L, 2L, 2L, 153L, 126L, 64L, 
    46L, 2L, 1L, 102L, 79L, 1L, 2L, 80L, 1L, 2L, 43L, 168L, 2L, 
    84L, 2L, 2L, 2L, 2L, 2L, 2L, 55L, 108L, 160L, 2L, 85L, 2L, 
    71L, 76L, 2L, 2L, 2L, 2L, 2L, 2L, 132L, 157L, 2L, 53L, 2L, 
    2L, 56L, 86L, 165L, 28L, 130L, 2L, 54L, 1L, 2L, 154L, 2L, 
    118L, 1L, 25L, 47L, 1L, 2L, 2L, 2L, 65L, 2L, 13L, 2L, 82L, 
    2L, 149L, 14L, 2L, 2L, 2L, 2L, 103L, 92L, 2L, 112L, 141L, 
    2L, 2L, 121L, 2L, 79L, 2L, 2L, 2L, 2L, 23L, 158L, 2L, 129L, 
    2L, 38L, 2L, 2L, 2L, 146L, 2L, 2L, 2L, 59L, 123L, 6L, 12L, 
    2L, 131L, 17L, 2L, 61L, 2L, 96L, 37L, 2L, 2L, 2L, 2L, 2L, 
    2L, 144L, 125L, 2L, 2L, 2L, 95L, 91L, 2L, 1L, 122L, 2L, 72L, 
    2L, 82L, 93L, 159L, 50L), .Label = c("", "###############################################################################################################################################################################################################################################################", 
    "12(S)-lipoxygenase; platelet-type 12-lipoxygenase/arachidonate 12-lipoxygenase; go_component: cytosol; go_component: sarcolemma; go_function: iron ion binding; go_function: metal ion binding; go_function: lipoxygenase activity; go_function: oxidoreductase activity; go_function: hepoxilin-epoxide hydrolase activity; go_function: potassium channel inhibitor activity; go_function: arachidonate 12-lipoxygenase activity; go_function: arachidonate 12-lipoxygenase activity; go_process: cell motility; go_process: anti-apoptosis; go_process: anti-apoptosis; go_process: electron transport; go_process: superoxide release; go_process: fatty acid oxidation; go_process: leukotriene biosynthesis; go_process: arachidonic acid metabolism; go_process: regulation of membrane potential; go_process: negative regulation of cell volume; go_process: positive regulation of cell growth; go_process: positive regulation of cell adhesion; go_process: positive regulation of cell proliferation; go_process: positive regulation of cell proliferation; go_process: oxygen and reactive oxygen species metabolism", 
    "17-kDa PKC-potentiated inhibitory protein of PP1; 17-KDa protein; go_function: protein phosphatase inhibitor activity", 
    "1700014P03Rik; go_function: unfolded protein binding; go_function: heat shock protein binding; go_process: protein folding", 
    "2310047H23Rik; go_function: isomerase activity; go_function: electron transporter activity; go_process: electron transport", 
    "2810434I23Rik; go_function: calcium ion binding; go_function: protein binding", 
    "60S ribosomal protein L31; go_component: ribosome; go_function: structural constituent of ribosome; go_process: protein biosynthesis", 
    "adaptor-related protein complex 2; epsilon subunit; go_component: nucleus; go_function: transcription factor activity; go_process: regulation of transcription; DNA-dependent", 
    "ADP-ribosylation factor-like membrane-associated protein; ADP-ribosylation factor-like 10A; go_function: GTP binding; go_function: nucleotide binding; go_process: small GTPase mediated signal transduction", 
    "alcohol dehydrogenase 8; Fe-containing alcohol dehydrogenase 1", 
    "alpha-1B-glycoprotein; go_component: extracellular space; go_function: molecular function unknown; go_process: biological process unknown", 
    "androgen induced protein; CGI-103 protein; androgen induced protein (AIG-1); C-terminus truncated; go_component: integral to membrane", 
    "apoA-I binding protein; go_function: molecular function unknown", 
    "apoptosis-inducing NBK; go_component: membrane; go_component: integral to membrane; go_function: protein binding; go_function: protein binding; go_process: apoptotic program; go_process: regulation of apoptosis; go_process: induction of apoptosis ", 
    "B cell-activating factor receptor; go_component: membrane; go_component: integral to membrane; go_function: receptor activity; go_process: immune response", 
    "beta-carotene 15; 15prime-dioxygenase 1; go_function: iron ion binding; go_function: oxidoreductase activity; go_function: beta-carotene 15;15prime-monooxygenase activity", 
    "beta defensin 27; beta-defensin 27; go_component: cellular component unknown; go_function: nucleic acid binding; go_process: innate immune response; go_process: defense response to bacteria", 
    "brain acid-soluble protein 1; neuronal tissue-enriched acidic protein; neuronal axonal membrane protein NAP-22; go_component: cytoskeleton; go_component: plasma membrane", 
    "brain leucine zipper protein; go_function: protein binding; go_function: transcription factor activity; go_process: regulation of transcription; DNA-dependent", 
    "BTE-binding protein 5; go_component: nucleus; go_function: DNA binding; go_function: zinc ion binding; go_function: metal ion binding; go_process: transcription; go_process: regulation of transcription; DNA-dependent", 
    "calsarcin-2; go_component: nucleus; go_function: structural molecule activity", 
    "caspase-2 binding protein; HSPC190", "cell cycle control protein SDP35; 5830484J08Rik; go_process: intracellular signaling cascade", 
    "centaurin beta2; Arf GAP with coiled coil; ANK repeat and PH domains 2; go_function: metal ion binding; go_function: GTPase activator activity; go_process: regulation of GTPase activity", 
